"성별","산업별","국가별","항목","단위","1991 년","1992 년","1993 년","1994 년","1995 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"남자","전체","대한민국","취업자","","","","","","","","","","","","","","","","","","","","14745","15057","15156","15241","15368","15372","15463","15381","15548","15928",
"남자","전체","일본","취업자","","","","","","","37694.718","37387.525","36932.278","36730.017","36637.328","36751.035","36804.613","37144.919","36874.285","36085.323","35743.456","34984.128","35844.013","35757.946","35904.887","35905.114","36111.113","36418.804","36866.025","37048.186","36829.117","","",
"남자","전체","튀르키예","취업자","","","","","","","","","","","14585.282","14958.62","","","15598.358","15402.081","16168.254","17130.177","17511.095","17877.656","18239.847","18576.538","18897.795","19464.059","19715.044","19160.556","18500.388","19791.628","20817.832",
"남자","전체","멕시코","취업자","","","","","","","","","","","","26687.187","27238.124","27631.038","28140.687","28326.771","28807.493","29385.687","30123.234","30398.121","30736.591","30876.965","31426.228","31996.886","32791.415","33265.952","31065.491","33610.552","34440.669",
"남자","전체","미국","취업자","","","","","","","","","","73331.568","74524.155","75973.099","77501.589","78254.293","77486.276","73669.639","73359.146","74290.219","75555.335","76352.589","77692.297","79130.653","80568.122","81401.911","82698.43","83460.324","78560.412","80828.957","84202.542",
"남자","전체","칠레","취업자","","","","","","","","","","","","","","","","","","","","4647.097","4669.245","4754.124","4806.161","4882.181","4917.45","4958.048","4640.939","4884.568","5125.857",
"남자","전체","코스타리카","취업자","","","","","","","","","","","","","","","","","","","","","","","","1331.47","1371.388","1374.501","1265.337","1315.779","1367.524",
"남자","전체","오스트리아","취업자","","","","","","","","","","","","","","","","","","2162.418","2171.513","2180.319","2175.406","2194.156","2234.482","2254.404","2295.549","2313.112","2285.326","2288.702","2353.004",
"남자","전체","벨기에","취업자","","","","","","","","","","","","","","","2460.712","2429.33","2457.784","2461.935","2466.079","2450.521","2435.323","2433.501","2465.392","2495.698","2531.254","2566.91","2556.399","2575.235","2638.639",
"남자","전체","체코","취업자","","","","","","","","","","","","","","","2863.168","2823.727","2798.303","2777.336","2778.566","2794.047","2816.96","2837.313","2876.659","2915.762","2946.467","2950.744","2928.444","2919.121","2883.558",
"남자","전체","덴마크","취업자","","","","","","","","","","","","","","","1498.034","1428.785","1394.592","1402.137","1391.767","1385.645","1409.503","1443.276","1462.279","1475.504","1502.227","1528.858","1514.112","1537.384","1574.725",
"남자","전체","핀란드","취업자","","","","","","","","","","","","","","","1314.715","1254.867","1259.077","1277.837","1277.137","1261.283","1253.976","1248.722","1266.519","1282.183","1316.727","1326.629","1314.228","1339.664","1360.572",
"남자","전체","프랑스","취업자","","","","","","","","","","","","","","","13667.246","13460.305","13495.348","13506.485","13483.923","13434.109","13661.065","13658.219","13761.279","13882.566","13968.967","13969.54","13885.329","14159.172","14474.374",
