"거래구분별(1)","투자자별(1)","투자자별(2)",시점,데이터
"거래량","총거래량","매도 (천주)",2018.07,21250262
"거래량","총거래량","매도 (천주)",2018.08,19313383
"거래량","총거래량","매도 (천주)",2018.09,16396914
"거래량","총거래량","매도 (천주)",2018.10,18793796
"거래량","총거래량","매도 (천주)",2018.11,19624972
"거래량","총거래량","매도 (천주)",2018.12,19172177
"거래량","총거래량","매도 (천주)",2019.01,24481262
"거래량","총거래량","매도 (천주)",2019.02,20620284
"거래량","총거래량","매도 (천주)",2019.03,22039093
"거래량","총거래량","매도 (천주)",2019.04,28251771
"거래량","총거래량","매도 (천주)",2019.05,28517389
"거래량","총거래량","매도 (천주)",2019.06,27518381
"거래량","총거래량","매도 (천주)",2019.07,30048260
"거래량","총거래량","매도 (천주)",2019.08,26494537
"거래량","총거래량","매도 (천주)",2019.09,23862990
"거래량","총거래량","매도 (천주)",2019.10,27542129
"거래량","총거래량","매도 (천주)",2019.11,32394370
"거래량","총거래량","매도 (천주)",2019.12,26969890
"거래량","총거래량","매도 (천주)",2020.01,33249799
"거래량","총거래량","매도 (천주)",2020.02,39635839
"거래량","총거래량","매도 (천주)",2020.03,47668576
"거래량","총거래량","매도 (천주)",2020.04,56251736
"거래량","총거래량","매도 (천주)",2020.05,47250311
"거래량","총거래량","매도 (천주)",2020.06,50843738
"거래량","총거래량","매도 (천주)",2020.07,50502904
"거래량","총거래량","매도 (천주)",2020.08,52524516
"거래량","총거래량","매도 (천주)",2020.09,62437348
"거래량","총거래량","매도 (천주)",2020.10,52326816
"거래량","총거래량","매도 (천주)",2020.11,66189099
"거래량","총거래량","매도 (천주)",2020.12,67951569
"거래량","총거래량","매도 (천주)",2021.01,67951529
"거래량","총거래량","매도 (천주)",2021.02,82455515
"거래량","총거래량","매도 (천주)",2021.03,81763038
"거래량","총거래량","매도 (천주)",2021.04,86579634
"거래량","총거래량","매도 (천주)",2021.05,48120692
"거래량","총거래량","매도 (천주)",2021.06,73623495
"거래량","총거래량","매도 (천주)",2021.07,58052931
"거래량","총거래량","매도 (천주)",2021.08,40827608
"거래량","총거래량","매도 (천주)",2021.09,38795740
"거래량","총거래량","매도 (천주)",2021.10,38865248
"거래량","총거래량","매도 (천주)",2021.11,40392519
"거래량","총거래량","매도 (천주)",2021.12,35928354
"거래량","총거래량","매도 (천주)",2022.01,35281683
"거래량","총거래량","매도 (천주)",2022.02,29224975
"거래량","총거래량","매도 (천주)",2022.03,40757322
"거래량","총거래량","매도 (천주)",2022.04,49538550
"거래량","총거래량","매도 (천주)",2022.05,40752416
"거래량","총거래량","매도 (천주)",2022.06,33858461
"거래량","총거래량","매도 (천주)",2022.07,25227454
"거래량","총거래량","매도 (천주)",2022.08,28346912
"거래량","총거래량","매도 (천주)",2022.09,26228462
"거래량","총거래량","매도 (천주)",2022.10,30017716
"거래량","총거래량","매도 (천주)",2022.11,32991530
"거래량","총거래량","매도 (천주)",2022.12,28665431
"거래량","총거래량","매도 (천주)",2023.01,30417032
"거래량","총거래량","매도 (천주)",2023.02,33022969
"거래량","총거래량","매도 (천주)",2023.03,36390971
"거래량","총거래량","매도 (천주)",2023.04,48546613
"거래량","총거래량","매도 (천주)",2023.05,39248643
"거래량","총거래량","매도 (천주)",2023.06,36654582
"거래량","총거래량","매도 (천주)",2023.07,32828451
"거래량","총거래량","매도 (천주)",2023.08,38038401
"거래량","총거래량","매도 (천주)",2023.09,27803750
"거래량","총거래량","매도 (천주)",2023.10,26667899
"거래량","총거래량","매도 (천주)",2023.11,27965267
"거래량","총거래량","매도 (천주)",2023.12,28394849
"거래량","총거래량","매도 (천주)",2024.01,38902056
"거래량","총거래량","매도 (천주)",2024.02,32840754
"거래량","총거래량","매도 (천주)",2024.03,32051396
"거래량","총거래량","매도 (천주)",2024.04,29681283
