"산업별(1)","산업별(2)",시점,데이터
"제조업","소계",2001.01,2000.2
"제조업","소계",2001.02,1945.1
"제조업","소계",2001.03,1705.7
"제조업","소계",2001.04,1868.3
"제조업","소계",2001.05,1985.4
"제조업","소계",2001.06,1849.7
"제조업","소계",2001.07,1581.3
"제조업","소계",2001.08,1383.3
"제조업","소계",2001.09,1142.7
"제조업","소계",2001.10,1475.7
"제조업","소계",2001.11,1483.7
"제조업","소계",2001.12,1438.6
"제조업","소계",2002.01,1474.8
"제조업","소계",2002.02,1513.3
"제조업","소계",2002.03,1784.7
"제조업","소계",2002.04,1412.6
"제조업","소계",2002.05,1311.3
"제조업","소계",2002.06,1157.3
"제조업","소계",2002.07,1111.6
"제조업","소계",2002.08,1147.2
"제조업","소계",2002.09,950
"제조업","소계",2002.10,1001.8
"제조업","소계",2002.11,1011.4
"제조업","소계",2002.12,889.5
"제조업","소계",2003.01,843.4
"제조업","소계",2003.02,840.4
"제조업","소계",2003.03,753.7
"제조업","소계",2003.04,848.5
"제조업","소계",2003.05,937.2
"제조업","소계",2003.06,964.8
"제조업","소계",2003.07,972.1
"제조업","소계",2003.08,977.5
"제조업","소계",2003.09,901
"제조업","소계",2003.10,902.4
"제조업","소계",2003.11,911.1
"제조업","소계",2003.12,912.4
"제조업","소계",2004.01,876.9
"제조업","소계",2004.02,873.1
"제조업","소계",2004.03,866.8
"제조업","소계",2004.04,893.8
"제조업","소계",2004.05,792.78
"제조업","소계",2004.06,753.68
"제조업","소계",2004.07,680.95
"제조업","소계",2004.08,716.51
"제조업","소계",2004.09,729.61
"제조업","소계",2004.10,728.02
"제조업","소계",2004.11,781.1
"제조업","소계",2004.12,811.33
"제조업","소계",2005.01,1067.48
"제조업","소계",2005.02,1178.55
"제조업","소계",2005.03,1084.19
"제조업","소계",2005.04,1046.13
"제조업","소계",2005.05,1172.85
"제조업","소계",2005.06,1273.55
"제조업","소계",2005.07,1375.17
"제조업","소계",2005.08,1236.97
"제조업","소계",2005.09,1447.42
"제조업","소계",2005.10,1489.56
"제조업","소계",2005.11,1727.96
"제조업","소계",2005.12,1538.67
"제조업","소계",2006.01,1518.64
"제조업","소계",2006.02,1519.59
"제조업","소계",2006.03,1476.06
"제조업","소계",2006.04,1467.16
"제조업","소계",2006.05,1342.81
"제조업","소계",2006.06,1262.72
"제조업","소계",2006.07,1226.41
"제조업","소계",2006.08,1259.97
"제조업","소계",2006.09,1316.03
"제조업","소계",2006.10,1302.72
"제조업","소계",2006.11,1408.76
"제조업","소계",2006.12,1347.07
"제조업","소계",2007.01,1291.98
"제조업","소계",2007.02,1371.87
"제조업","소계",2007.03,1522.14
"제조업","소계",2007.04,1602.78
"제조업","소계",2007.05,1827.91
"제조업","소계",2007.06,1920.58
"제조업","소계",2007.07,1992.68
"제조업","소계",2007.08,1863.96
"제조업","소계",2007.09,1905.19
"제조업","소계",2007.10,1894.87
"제조업","소계",2007.11,1737.71
"제조업","소계",2007.12,1675.95
"제조업","소계",2008.01,1424.21
"제조업","소계",2008.02,1590.92
"제조업","소계",2008.03,1533.22
"제조업","소계",2008.04,1591.42
"제조업","소계",2008.05,1678.19
"제조업","소계",2008.06,1539.58
"제조업","소계",2008.07,1424.23
"제조업","소계",2008.08,1230.57
"제조업","소계",2008.09,1145.31
"제조업","소계",2008.10,750.7
"제조업","소계",2008.11,773.16
"제조업","소계",2008.12,846.09
"제조업","소계",2009.01,963.27
"제조업","소계",2009.02,933.22
"제조업","소계",2009.03,1080.29
"제조업","소계",2009.04,1265.82
"제조업","소계",2009.05,1350.78
"제조업","소계",2009.06,1215.56
"제조업","소계",2009.07,1239.54
"제조업","소계",2009.08,1252.51
"제조업","소계",2009.09,1189.38
"제조업","소계",2009.10,1177.9
"제조업","소계",2009.11,1111.96
"제조업","소계",2009.12,1194.32
"제조업","소계",2010.01,1167.3
"제조업","소계",2010.02,1197.3
"제조업","소계",2010.03,1234.41
"제조업","소계",2010.04,1243.27
"제조업","소계",2010.05,1149.91
"제조업","소계",2010.06,1152.81
"제조업","소계",2010.07,1141.75
"제조업","소계",2010.08,1137.32
"제조업","소계",2010.09,1224.15
"제조업","소계",2010.10,1329.17
"제조업","소계",2010.11,1268.39
"제조업","소계",2010.12,1303.18
"제조업","소계",2011.01,1334.7
"제조업","소계",2011.02,1285.68
