"시점",제조업,음식료・담배,섬유・의류,종이・목재,출판・매체복제,화학,제약,비금속,금속,기계・장비,일반전기전자,의료・정밀기기,운송장비・부품,기타제조업,건설,유통,운송,금융,오락・문화,기타서비스,통신방송서비스,통신방송서비스,IT S/W & SVC,IT S/W & SVC,IT S/W & SVC,IT S/W & SVC,IT H/W,IT H/W,IT H/W,IT H/W
"시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,통신서비스,방송서비스,인터넷,디지털컨텐츠,소프트웨어,컴퓨터서비스,통신장비,정보기기,반도체,IT부품
"2001.01",2000.2,3509.1,2019.7,1661.8,2108.1,3419.9,1268.8,8921.5,2915.4,1214.1,4144.7,3816,2728.8,4070.7,78,1097.9,1112.2,418.1,0,2314.3,1571.8,1356.9,2002.1,1646.6,2352.7,1575.8,1752.9,1636.7,1576.3,1557.5
"2001.02",1945.1,3524.2,1748.6,1422.6,2256.4,3378.1,1414.3,8686.9,3038.2,1220.7,4074.8,3468.1,2720.7,3411.2,72.6,997,1033.1,400.6,0,2222.7,1232.6,1251.4,1702.4,1649.6,2310.9,1462.1,1657.1,1421.4,1550.1,1571.4
"2001.03",1705.7,3509.5,1671.5,1263.2,1821.8,2913.5,1158.5,7602,2747.7,1122,3469.8,2946.6,2502.2,2946.7,68.9,856.3,854.8,347.3,0,1848.2,1212.3,1095.7,1393.4,1553,1876.6,1161.2,1365,1162.5,1416.6,1408.3
"2001.04",1868.3,3519.3,1980.8,1279.6,2161.6,3137.7,1304.1,8541,2834.8,1233.3,3966.8,3051.4,2732,3066.8,69.8,1049.6,881.3,389.5,0,2286.6,1447.3,1314.7,1930.9,1981.9,2557.8,1378.5,1585.1,1306.7,1474.2,1530.2
"2001.05",1985.4,3636.5,2641.1,1388.6,2519.3,3621.3,1522.4,9248.3,3330.5,1357,3998.5,3120,2927.2,3169.8,80.3,1153,943,390.3,0,2471.8,1366,1490.5,2122.7,2069.8,2668.5,1500.7,1583.8,1372.5,1507.9,1558
"2001.06",1849.7,3780.9,2275.1,1182.8,2192.3,3438.6,1371,9417.9,2722.9,1310.3,3673.6,2961.1,3195,2958.6,79.8,1055.9,917.6,431.2,0,2329.7,1235.6,1462.9,1906.5,1756.1,2559.4,1425.8,1434.8,1174.7,1395.8,1480.5
"2001.07",1581.3,3289.2,1835.2,959.8,1825.8,2993.9,1170.3,8117.1,2384.8,1066.8,3304.9,2460.7,3438.2,2527.3,71.8,910.2,811.7,413.5,0,1963.1,1163.2,1307.3,1600.1,1385.1,2124.4,1196.5,1161.3,972.4,1065.6,1322.4
"2001.08",1383.3,3161.8,1509.6,811.7,1760.9,2658.4,1011.8,6420.9,2012.7,939.4,3013,2223,2693.7,1957.3,65.9,776.5,755.7,420.2,0,1755,1059.4,1270.4,1510.6,1455.6,1736,1052.4,1045.8,781.1,940.4,1159.8
"2001.09",1142.7,2891.9,1092,697.6,1594.2,2334.8,904.3,5089.9,1610.5,749.7,2289.4,1900.5,2376.7,1591.4,56.5,615.7,567.9,360.9,0,1469.2,891.3,1210.5,1123.8,1315.6,1381.3,809.3,900.2,592.8,691.1,869.3
