"지수종류별(1)","시점",데이터
"제조업","2000.01",1186.95
"제조업","2000.02",1051.13
"제조업","2000.03",1196.83
"제조업","2000.04",1017.99
"제조업","2000.05",979.88
"제조업","2000.06",1119.46
"제조업","2000.07",966.63
"제조업","2000.08",950.35
"제조업","2000.09",796.38
"제조업","2000.10",626.85
"제조업","2000.11",648.82
"제조업","2000.12",623.29
"제조업","2001.01",788.13
"제조업","2001.02",743.74
"제조업","2001.03",738.59
"제조업","2001.04",792.91
"제조업","2001.05",850.11
"제조업","2001.06",831.12
"제조업","2001.07",735.11
"제조업","2001.08",722.74
"제조업","2001.09",610.21
"제조업","2001.10",700.05
"제조업","2001.11",844.88
"제조업","2001.12",952.18
"제조업","2002.01",1049.91
"제조업","2002.02",1180.35
"제조업","2002.03",1309.74
"제조업","2002.04",1262.94
"제조업","2002.05",1157
"제조업","2002.06",1091.53
"제조업","2002.07",1066.44
"제조업","2002.08",1069.36
"제조업","2002.09",936.58
"제조업","2002.10",1015.16
"제조업","2002.11",1124.5
"제조업","2002.12",949.97
"제조업","2003.01",901.01
"제조업","2003.02",880.6
"제조업","2003.03",853.38
"제조업","2003.04",936.41
"제조업","2003.05",998.55
"제조업","2003.06",1078.66
"제조업","2003.07",1188.18
"제조업","2003.08",1266.7
"제조업","2003.09",1142.88
"제조업","2003.10",1315.14
"제조업","2003.11",1351.64
"제조업","2003.12",1387.78
"제조업","2004.01",1481.36
"제조업","2004.02",1534.92
"제조업","2004.03",1566.62
"제조업","2004.04",1523.14
"제조업","2004.05",1400.71
"제조업","2004.06",1374.85
"제조업","2004.07",1283.64
"제조업","2004.08",1376.19
"제조업","2004.09",1452.16
"제조업","2004.10",1423.38
"제조업","2004.11",1483.92
"제조업","2004.12",1510.51
"제조업","2005.01",1619.18
"제조업","2005.02",1769.11
"제조업","2005.03",1686.69
"제조업","2005.04",1568.91
"제조업","2005.05",1674.63
"제조업","2005.06",1718.95
"제조업","2005.07",1881.01
"제조업","2005.08",1863.4
"제조업","2005.09",2062.71
"제조업","2005.10",1936.36
"제조업","2005.11",2140.48
"제조업","2005.12",2273.7
"제조업","2006.01",2324.44
"제조업","2006.02",2278.8
"제조업","2006.03",2227.82
"제조업","2006.04",2276.44
"제조업","2006.05",2120.88
"제조업","2006.06",2087.32
"제조업","2006.07",2074.88
"제조업","2006.08",2209.62
"제조업","2006.09",2252.23
"제조업","2006.10",2200.02
"제조업","2006.11",2284.36
"제조업","2006.12",2263.96
"제조업","2007.01",2145.73
"제조업","2007.02",2230.75
"제조업","2007.03",2344.88
"제조업","2007.04",2502.55
"제조업","2007.05",2756.82
"제조업","2007.06",2885.73
"제조업","2007.07",3212.42
"제조업","2007.08",3138.38
"제조업","2007.09",3295.46
"제조업","2007.10",3452.09
"제조업","2007.11",3208.71
"제조업","2007.12",3119.6
"제조업","2008.01",2714.6
"제조업","2008.02",2917.51
"제조업","2008.03",2939.84
"제조업","2008.04",3137.59
"제조업","2008.05",3273.2
"제조업","2008.06",2941.58
"제조업","2008.07",2798.61
"제조업","2008.08",2507.7
"제조업","2008.09",2528.2
"제조업","2008.10",2004.68
"제조업","2008.11",1876.49
"제조업","2008.12",1940.65
"제조업","2009.01",2035.98
"제조업","2009.02",1926.16
"제조업","2009.03",2212.82
"제조업","2009.04",2504.95
"제조업","2009.05",2513.05
"제조업","2009.06",2511.77
"제조업","2009.07",2824.34
"제조업","2009.08",2946.05
"제조업","2009.09",3054.03
"제조업","2009.10",2862.02
"제조업","2009.11",2835.05
"제조업","2009.12",3157.55
"제조업","2010.01",2975.32
"제조업","2010.02",2964.05
"제조업","2010.03",3176.14
"제조업","2010.04",3333.15
"제조업","2010.05",3166.8
"제조업","2010.06",3271.74
"제조업","2010.07",3370.36
"제조업","2010.08",3346.82
"제조업","2010.09",3622.9
"제조업","2010.10",3667
"제조업","2010.11",3757.19
"제조업","2010.12",4062.32
"제조업","2011.01",4187.77
"제조업","2011.02",3951.28
"제조업","2011.03",4364.06
"제조업","2011.04",4603.2
"제조업","2011.05",4527.85
"제조업","2011.06",4361.97
"제조업","2011.07",4391.42
"제조업","2011.08",3803.64
"제조업","2011.09",3638.24
"제조업","2011.10",3959.09
"제조업","2011.11",3870.62
"제조업","2011.12",3866.52
"제조업","2012.01",4137.84
"제조업","2012.02",4334.59
"제조업","2012.03",4314.66
"제조업","2012.04",4367.87
"제조업","2012.05",4012.91
"제조업","2012.06",4005.25
"제조업","2012.07",4112.72
"제조업","2012.08",4089.73
"제조업","2012.09",4294.69
"제조업","2012.10",4087.7
"제조업","2012.11",4179.93
"제조업","2012.12",4325.41
"제조업","2013.01",4148.97
"제조업","2013.02",4327.31
"제조업","2013.03",4293.2
"제조업","2013.04",4198.1
"제조업","2013.05",4289.98
"제조업","2013.06",3962.26
"제조업","2013.07",4041.93
"제조업","2013.08",4140.41
"제조업","2013.09",4266.54
"제조업","2013.10",4342.44
"제조업","2013.11",4373.75
"제조업","2013.12",4204.21
"제조업","2014.01",4040.89
"제조업","2014.02",4123.43
"제조업","2014.03",4152.48
"제조업","2014.04",4095.94
"제조업","2014.05",4204.17
"제조업","2014.06",4173.9
"제조업","2014.07",4265.2
"제조업","2014.08",4142.74
"제조업","2014.09",3953.6
"제조업","2014.10",3854.01
"제조업","2014.11",3934.47
"제조업","2014.12",3873.57
"제조업","2015.01",3969.16
"제조업","2015.02",4045.28
"제조업","2015.03",4201.25
"제조업","2015.04",4335.93
"제조업","2015.05",4267.99
"제조업","2015.06",4136.6
"제조업","2015.07",3973.96
"제조업","2015.08",3796.05
"제조업","2015.09",3858.93
"제조업","2015.10",4102.56
"제조업","2015.11",4058.85
